nom,x,y
france,236,341
royaume uni,217,274
irlande,181,267
espagne,183,400
portugal,149,397
italie,304,382
suisse,274,343
allemagne,287,299
pologne,342,287
suede,312,185
norvege,281,205
islande,173,143
finlande,359,174
russie,461,178
ukraine,425,299
bielorussie,381,265
tchequie,319,315
roumanie,388,338
moldavie,409,324
grece,378,410
turquie,461,395
serbie,365,365
albanie,362,397
macedoine du nord,373,389
montenegro,373,380
bosnie herzegovine,341,368
croatie,331,352
slovenie,318,352
autriche,317,335
lithuanie,364,253
lettonie,370,234
estonie,367,218
chypre,473,431
malte,322,449
danemark,283,254
bulgarie,395,373
hongrie,349,336
belgique,252,306
luxembourg,262,314
Pays-bas,260,292
albanie,362,397
